Date,Year,Month,Event,Event_Type,Total_Tourist_Arrivals,Domestic_Tourists,International_Tourists,Hotel_Occupancy(%),Average_Stay_Duration(days),Tourism_Revenue(INR),Cruise_Arrivals,Airport_Footfall,Temperature(C),Rainfall(mm),Flight_Delays,Monsoon_Impact_Flag,Most_Visited_Place,Agency_or_Package,Lag_1_Month,Lag_3_Month,Lag_6_Month,Moving_Average,Seasonal_Index
2022-02-22,2022,2,Cruise Season,Cruise Tourism,116891,71310,45581,61.82,3.66,328528917.65,1348,134269,29.26,531.03,15,1,Hill Palace,Self-Planned,120547,111966,117381,116696,0.89
2023-03-20,2023,3,No Major Event,None,50838,36330,14508,81.92,4.8,73835214.53,51,61732,25.37,90.99,5,0,Chottanikkara Temple,Travel Group,54070,45425,34526,46214,1.18
2024-11-19,2024,11,Monsoon Dip,Low Season,99593,72598,26995,84.9,5.48,221608207.48,92,109037,32.79,477.16,8,1,Cherai Beach,Travel Group,102348,94695,96444,98270,1.04
2023-03-27,2023,3,Biennale,Arts & Cultural,114968,91956,23012,72.84,4.93,223019472.14,1487,131910,24.76,56.55,16,0,Cherai Beach,Self-Planned,114874,111601,108652,112523,0.96
2022-03-17,2022,3,Wedding Season,MICE,50420,36588,13832,92.2,2.64,148644205.72,195,53725,24.96,145.33,16,0,Hill Palace,Government Package,51450,42349,67135,52838,0.88
2023-04-10,2023,4,Cruise Season,Cruise Tourism,116698,81719,34979,93.07,1.88,162569169.02,686,126399,28.64,374.93,21,1,Fort Kochi,Travel Group,114727,124747,116795,118241,1.18
2022-12-11,2022,12,Monsoon Dip,Low Season,71106,53651,17455,87.45,3.89,127917399.03,66,82463,28.55,563.47,17,1,Cherai Beach,Self-Planned,69871,65618,57041,65909,1.12
2024-12-29,2024,12,Biennale,Arts & Cultural,95631,63070,32561,86.33,4.69,156622079.65,2565,104906,29.78,172.61,18,0,Chottanikkara Temple,Private Agency,93878,86633,92537,92169,1.13
2022-10-02,2022,10,Monsoon Dip,Low Season,83890,62663,21227,51.66,4.59,235100997.85,198,101137,32.14,155.7,0,0,Fort Kochi,Government Package,88767,88178,95670,89126,0.92
2022-02-11,2022,2,Peak Season,Tourism,59977,39740,20237,92.63,3.06,178960297.84,2556,73715,27.78,276.09,5,0,Bolgatty Palace,Travel Group,64772,56286,64368,61350,1.12
2023-10-18,2023,10,Cruise Season,Cruise Tourism,116219,74336,41883,84.32,4.48,179979114.04,1006,120866,28.02,508.2,10,1,Cherai Beach,Private Agency,111888,115902,99085,110773,1.12
2022-09-11,2022,9,Conference,MICE,53187,37394,15793,88.73,3.4,149079982.08,101,64726,31.69,83.33,0,0,Lulu Mall,Self-Planned,57358,51443,34255,49060,1.08
2024-12-15,2024,12,Monsoon Dip,Low Season,105249,81390,23859,73.58,2.96,167259685.37,49,113039,24.43,240.25,3,0,Marine Drive,Travel Group,107466,97160,95398,101318,1.15
2022-03-25,2022,3,Peak Season,Tourism,67684,48972,18712,56.58,2.49,193978854.78,1976,75261,29.61,528.41,10,1,Fort Kochi,Self-Planned,65969,71500,48450,63400,1.1
2024-01-28,2024,1,Wedding Season,MICE,70497,46220,24277,88.96,1.65,193821955.94,90,90338,30.61,16.39,41,0,Chinese Fishing Nets,Private Agency,69265,61146,89826,72683,0.92
2024-05-22,2024,5,Peak Season,Tourism,89513,63188,26325,91.26,3.66,191879015.98,2297,96145,24.74,168.59,23,0,Chottanikkara Temple,Self-Planned,90300,97772,92517,92525,0.84
2024-05-12,2024,5,Peak Season,Tourism,127301,88343,38958,55.43,4.79,330900606.08,969,139978,30.72,279.36,20,0,Chinese Fishing Nets,Self-Planned,131666,131323,120799,127772,0.86
2024-05-11,2024,5,Peak Season,Tourism,110610,86907,23703,51.27,1.58,146854180.83,1654,126260,24.57,84.45,25,0,Marine Drive,Private Agency,115318,119083,102909,111980,0.99
2023-07-08,2023,7,Monsoon Dip,Low Season,120544,87515,33029,59.8,5.18,338487788.59,143,133752,24.06,37.99,38,0,Chinese Fishing Nets,Travel Group,119670,123826,121862,121475,1.02
2022-08-15,2022,8,No Major Event,None,93523,63803,29720,55.97,4.34,235311707.13,176,99626,30.26,117.06,32,0,Chottanikkara Temple,Government Package,94815,86595,94086,92254,0.88
2022-04-19,2022,4,Conference,MICE,84055,60494,23561,77.43,2.68,232874554.43,167,92755,29.78,240.22,31,0,Mattancherry Palace,Private Agency,85721,88089,67994,81464,0.99
2022-10-11,2022,10,Monsoon Dip,Low Season,115522,74617,40905,83.17,2.61,272163981.44,76,122265,27.79,370.53,34,1,Hill Palace,Government Package,113650,111533,126802,116876,0.92
2023-08-14,2023,8,Biennale,Arts & Cultural,91601,68565,23036,79.5,3.01,162899509.64,953,110828,24.12,214.19,10,0,Hill Palace,Government Package,92101,92812,73192,87426,1.2
2023-03-19,2023,3,Onam Festival,Festival,105666,73468,32198,78.14,5.42,129046786.49,70,122065,26.0,454.11,1,1,Chinese Fishing Nets,Travel Group,104878,109524,123781,110962,0.88
2022-07-14,2022,7,Biennale,Arts & Cultural,72392,53233,19159,73.4,4.05,142397169.04,1713,77074,30.28,279.61,0,0,Bolgatty Palace,Self-Planned,71105,75250,80345,74773,0.86
2023-12-11,2023,12,No Major Event,None,100440,75736,24704,66.49,4.03,174689458.29,158,106451,31.41,413.09,19,1,Marine Drive,Travel Group,97809,95202,85824,94818,1.15
2022-03-01,2022,3,No Major Event,None,67836,45553,22283,85.86,3.15,108851777.89,50,83626,26.8,450.99,44,1,Hill Palace,Travel Group,68414,67381,63659,66822,0.97
2023-06-10,2023,6,Wedding Season,MICE,128339,88474,39865,77.61,4.11,224333807.3,194,136302,31.75,182.47,48,0,Chottanikkara Temple,Government Package,124396,126174,127010,126479,0.86
2022-09-27,2022,9,Monsoon Dip,Low Season,84504,63798,20706,92.34,4.62,128693555.19,55,97049,31.39,384.31,20,1,Bolgatty Palace,Private Agency,89073,90233,66519,82582,0.88
2024-06-21,2024,6,Monsoon Dip,Low Season,96079,59173,36906,91.62,4.9,208013323.86,65,111141,32.94,303.55,34,1,Hill Palace,Private Agency,99238,98186,87789,95323,1.09
2022-08-10,2022,8,Monsoon Dip,Low Season,95118,66512,28606,81.44,2.76,171884064.07,132,105801,31.98,141.3,37,0,Bolgatty Palace,Self-Planned,91291,100016,109710,99033,0.88
2024-10-11,2024,10,Cruise Season,Cruise Tourism,83384,51234,32150,75.64,3.18,109063859.85,2812,102458,31.29,558.96,17,1,Chinese Fishing Nets,Travel Group,87963,76313,72849,80127,0.98
2022-05-07,2022,5,Peak Season,Tourism,100271,72805,27466,67.99,4.84,230620614.18,1350,117879,25.81,451.51,2,1,Bolgatty Palace,Self-Planned,96000,95570,83503,93836,1.15
2023-06-29,2023,6,Cruise Season,Cruise Tourism,108851,80656,28195,63.87,1.79,216557128.21,1038,121894,31.44,341.06,38,1,Cherai Beach,Government Package,110005,102880,91428,103291,0.95
2022-06-03,2022,6,Onam Festival,Festival,120080,87883,32197,51.29,3.58,280479106.0,99,130085,31.2,553.55,18,1,Mattancherry Palace,Travel Group,119467,114994,103719,114565,0.89
2023-12-17,2023,12,Monsoon Dip,Low Season,76704,53805,22899,73.61,3.59,113650092.84,43,95014,26.36,234.01,15,0,Fort Kochi,Government Package,72514,75449,84381,77262,1.04
2024-12-08,2024,12,Conference,MICE,59250,45413,13837,84.77,3.01,151999055.22,29,62259,31.05,124.41,13,0,Chinese Fishing Nets,Government Package,55819,53923,62573,57891,0.82
2022-01-14,2022,1,Peak Season,Tourism,66250,51290,14960,88.74,2.32,181227289.15,2450,78966,27.77,194.16,19,0,Mattancherry Palace,Private Agency,64751,69542,67940,67120,1.12
2024-09-19,2024,9,Cruise Season,Cruise Tourism,58411,39273,19138,84.86,3.89,174383106.79,2467,66086,32.25,17.68,49,0,Chinese Fishing Nets,Travel Group,61475,56203,68394,61120,0.94
2023-01-13,2023,1,Monsoon Dip,Low Season,90302,62750,27552,51.12,4.23,193887036.41,171,99568,25.55,598.69,33,1,Fort Kochi,Self-Planned,89596,99078,74853,88457,1.07
2023-01-22,2023,1,Wedding Season,MICE,81966,65530,16436,75.08,3.83,144161161.64,101,90836,29.2,128.82,15,0,Cherai Beach,Government Package,82913,78889,98522,85572,1.15
2024-03-16,2024,3,Conference,MICE,109090,73283,35807,89.22,2.65,325580894.73,162,126310,27.83,82.68,41,0,Chinese Fishing Nets,Self-Planned,110528,106969,104791,107844,1.08
2023-07-21,2023,7,Onam Festival,Festival,86933,53515,33418,86.11,3.55,229974491.41,141,100427,26.28,365.64,12,1,Hill Palace,Government Package,88785,96870,76154,87185,1.06
2022-05-20,2022,5,Cruise Season,Cruise Tourism,55368,34213,21155,62.09,3.55,103738953.32,2366,58529,30.47,51.81,32,0,Lulu Mall,Private Agency,51435,45528,69184,55378,0.95
2023-12-07,2023,12,Biennale,Arts & Cultural,50631,32576,18055,87.7,4.63,61881923.95,1989,56296,28.43,307.73,5,1,Chottanikkara Temple,Travel Group,50846,60087,42210,50943,0.9
2022-11-29,2022,11,Onam Festival,Festival,122040,96433,25607,62.3,4.43,205091427.33,41,129176,28.47,72.91,32,0,Chinese Fishing Nets,Government Package,125824,117712,136247,125455,0.98
2022-10-03,2022,10,Peak Season,Tourism,58818,43749,15069,65.4,5.35,148659321.37,2624,68370,32.98,571.02,46,1,Marine Drive,Government Package,54427,64592,48816,56663,1.03
2023-12-05,2023,12,No Major Event,None,81399,62666,18733,80.59,4.87,230416662.71,32,87122,25.29,174.1,5,0,Chottanikkara Temple,Travel Group,85675,90710,89209,86748,1.12
2022-05-05,2022,5,Conference,MICE,53928,34125,19803,90.05,5.32,144971951.33,195,69163,24.29,48.36,46,0,Chottanikkara Temple,Travel Group,56950,49251,65198,56331,1.14
2023-04-20,2023,4,Biennale,Arts & Cultural,80863,62667,18196,91.13,3.88,159674788.77,2273,92843,32.61,378.86,24,1,Chinese Fishing Nets,Self-Planned,82306,86119,81851,82784,1.08
2023-07-15,2023,7,Peak Season,Tourism,97274,62775,34499,87.03,5.45,131661429.96,943,101936,27.84,248.0,42,0,Chinese Fishing Nets,Government Package,93449,102683,82433,93959,1.18
2024-12-17,2024,12,Monsoon Dip,Low Season,114076,88370,25706,73.54,3.86,207310387.04,163,124474,29.59,418.11,5,1,Lulu Mall,Government Package,115328,104333,113150,111721,1.05
2024-07-31,2024,7,Peak Season,Tourism,55314,35902,19412,73.67,2.18,128514977.08,1640,66008,27.91,561.82,31,1,Bolgatty Palace,Travel Group,58177,45659,49929,52269,1.04
2022-04-17,2022,4,No Major Event,None,52776,35854,16922,67.15,2.0,140430912.48,129,65605,27.22,328.85,46,1,Bolgatty Palace,Private Agency,52970,58174,61762,56420,1.11
2024-09-21,2024,9,Onam Festival,Festival,99448,75494,23954,92.93,1.99,265283025.22,145,113993,24.05,445.02,45,1,Lulu Mall,Self-Planned,98580,103949,114955,104233,0.87
2023-10-16,2023,10,Onam Festival,Festival,61794,45999,15795,81.24,4.66,116859979.22,87,75144,25.35,383.66,24,1,Chottanikkara Temple,Private Agency,59388,60538,59199,60229,1.11
2022-06-20,2022,6,Biennale,Arts & Cultural,113278,69427,43851,53.08,2.68,153558303.26,1782,127449,26.24,32.67,0,0,Bolgatty Palace,Self-Planned,112160,122736,102135,112577,0.93
2022-01-01,2022,1,Conference,MICE,104859,64557,40302,72.26,2.66,137458901.23,65,113914,29.29,230.89,20,0,Marine Drive,Private Agency,108404,107663,100452,105344,1.09
2024-04-29,2024,4,Conference,MICE,119210,92047,27163,81.45,3.34,278476095.35,51,137972,31.78,238.4,10,0,Mattancherry Palace,Travel Group,116118,120345,129627,121325,0.89
2022-03-14,2022,3,Cruise Season,Cruise Tourism,100349,61600,38749,71.26,4.81,144208649.03,2635,116662,27.88,584.18,4,1,Lulu Mall,Self-Planned,99099,95999,82955,94600,1.18
2023-01-19,2023,1,Cruise Season,Cruise Tourism,86848,65585,21263,71.99,1.9,185234291.56,2887,104826,24.63,331.95,33,1,Chinese Fishing Nets,Self-Planned,88095,92561,76958,86115,0.9
2023-07-21,2023,7,Monsoon Dip,Low Season,110918,82692,28226,68.12,5.39,316318651.01,159,122702,27.99,235.16,31,0,Mattancherry Palace,Self-Planned,108383,114920,118643,113216,0.88
2024-11-04,2024,11,Monsoon Dip,Low Season,100104,60538,39566,71.24,5.24,287493942.95,31,109955,24.04,371.39,18,1,Fort Kochi,Self-Planned,101444,104958,107581,103521,1.18
2023-10-05,2023,10,Biennale,Arts & Cultural,54112,39994,14118,63.85,5.14,131186814.36,2255,73107,29.4,257.04,23,0,Cherai Beach,Travel Group,49769,57332,63540,56188,0.92
2022-01-25,2022,1,Cruise Season,Cruise Tourism,63688,40475,23213,82.63,3.36,185177641.21,238,73546,26.24,504.5,24,1,Bolgatty Palace,Government Package,64704,67423,52506,62080,1.04
2023-05-17,2023,5,Cruise Season,Cruise Tourism,94460,72983,21477,87.19,5.33,146184285.14,2060,98756,32.45,481.68,12,1,Chottanikkara Temple,Self-Planned,98676,87876,75933,89236,1.11
2024-06-26,2024,6,Peak Season,Tourism,59396,45283,14113,83.21,2.92,111787758.01,1698,78239,28.41,486.54,12,1,Cherai Beach,Travel Group,61983,61188,42052,56154,1.19
2022-05-22,2022,5,Monsoon Dip,Low Season,116824,87589,29235,78.14,1.86,232018945.48,89,124271,25.42,308.23,33,1,Mattancherry Palace,Travel Group,116206,113860,133647,120134,1.06
2024-08-23,2024,8,No Major Event,None,126442,83357,43085,84.42,1.83,294734484.85,157,145318,30.8,58.5,10,0,Chinese Fishing Nets,Government Package,125526,118541,122052,123140,0.96
2023-11-15,2023,11,No Major Event,None,118794,91204,27590,81.75,3.8,211225006.0,164,132104,24.07,170.5,0,0,Marine Drive,Private Agency,116487,127291,126554,122281,0.82
2023-07-24,2023,7,No Major Event,None,129993,81282,48711,75.0,2.73,257175561.52,109,137788,31.97,198.31,44,0,Fort Kochi,Government Package,133444,130356,114296,127022,0.94
2023-04-19,2023,4,Biennale,Arts & Cultural,65233,47002,18231,63.63,5.39,161799298.53,1055,82839,27.13,372.76,37,1,Lulu Mall,Government Package,65862,56766,82822,67670,0.99
2024-05-20,2024,5,Onam Festival,Festival,95561,66087,29474,65.34,4.51,154740452.93,197,102712,32.7,306.37,36,1,Lulu Mall,Travel Group,97001,102973,109603,101284,0.83
2023-06-11,2023,6,Onam Festival,Festival,60639,48299,12340,78.76,1.95,164544698.86,69,71092,25.77,190.44,8,0,Fort Kochi,Travel Group,58594,63361,61701,61073,1.09
2022-10-12,2022,10,Peak Season,Tourism,101886,69154,32732,83.19,2.04,143454992.32,1284,106251,26.67,187.88,41,0,Marine Drive,Private Agency,97096,107532,119460,106493,0.88
2023-12-26,2023,12,Monsoon Dip,Low Season,105156,76394,28762,58.09,4.53,148714733.87,41,111696,27.09,18.25,36,0,Bolgatty Palace,Travel Group,104845,100076,119663,107435,0.85
2024-03-26,2024,3,Cruise Season,Cruise Tourism,68899,48008,20891,69.13,1.99,201222137.36,145,88721,30.5,363.14,23,1,Bolgatty Palace,Private Agency,73252,61644,49814,63402,0.92
2023-02-25,2023,2,Onam Festival,Festival,96733,59691,37042,81.7,2.81,207098405.09,160,110845,31.44,181.0,37,0,Lulu Mall,Travel Group,92027,98124,96821,95926,1.15
2024-12-21,2024,12,No Major Event,None,70253,55876,14377,61.0,4.68,139610152.09,50,81252,28.28,117.3,33,0,Chinese Fishing Nets,Self-Planned,66429,69285,50770,64184,1.18
2023-12-12,2023,12,Wedding Season,MICE,115369,82245,33124,82.21,4.39,216007790.46,65,122126,31.67,451.12,17,1,Lulu Mall,Government Package,117388,124252,110531,116885,0.93
2024-11-23,2024,11,Wedding Season,MICE,118015,93947,24068,60.14,1.68,217911254.56,81,126131,31.13,8.14,30,0,Marine Drive,Self-Planned,115956,110160,119912,116010,0.87
2024-05-17,2024,5,Biennale,Arts & Cultural,66742,48650,18092,93.14,4.32,188498340.64,958,73007,26.06,552.97,34,1,Marine Drive,Government Package,66755,58815,53394,61426,0.92
2024-01-02,2024,1,Onam Festival,Festival,100120,78522,21598,61.49,2.33,270863128.1,106,115316,27.24,587.84,16,1,Chinese Fishing Nets,Private Agency,97577,95095,101124,98479,0.87
2023-10-19,2023,10,Conference,MICE,104477,78092,26385,80.41,2.27,263545211.92,174,122287,26.46,121.81,49,0,Lulu Mall,Government Package,108272,99010,84535,99073,0.81
2023-08-15,2023,8,Monsoon Dip,Low Season,123663,83301,40362,67.83,4.06,343667269.07,32,129127,26.23,378.91,14,1,Hill Palace,Self-Planned,123148,126289,119343,123110,1.15
2023-09-27,2023,9,Conference,MICE,103847,81363,22484,64.46,4.54,215128871.6,98,114901,26.19,124.66,47,0,Mattancherry Palace,Government Package,106175,102248,110564,105708,1.16
2024-10-31,2024,10,Conference,MICE,111532,83836,27696,84.99,5.01,272299148.65,197,130482,32.07,485.26,3,1,Fort Kochi,Private Agency,114550,104267,112534,110720,1.08
2022-05-23,2022,5,No Major Event,None,59075,46664,12411,78.95,2.66,163268450.06,167,66644,31.94,320.9,24,1,Chinese Fishing Nets,Private Agency,57538,58648,55949,57802,1.06
2023-10-28,2023,10,Onam Festival,Festival,64012,47818,16194,92.43,3.87,78259229.18,33,69070,29.13,93.46,33,0,Chinese Fishing Nets,Government Package,63114,62206,53320,60663,1.05
2023-10-31,2023,10,Monsoon Dip,Low Season,127491,78720,48771,59.26,4.03,163249894.13,20,132893,27.55,380.43,12,1,Marine Drive,Self-Planned,125193,127222,140972,130219,0.86
2023-11-09,2023,11,Monsoon Dip,Low Season,76137,60852,15285,64.74,2.63,99940903.47,27,81528,30.6,334.57,6,1,Bolgatty Palace,Government Package,72714,82837,77970,77414,0.99
2023-04-24,2023,4,Onam Festival,Festival,109194,66149,43045,61.22,2.06,154164617.26,20,118361,27.69,255.59,15,0,Cherai Beach,Government Package,105921,102112,114522,107937,1.08
2024-06-08,2024,6,Cruise Season,Cruise Tourism,94556,57311,37245,51.62,3.03,127570473.11,1178,99107,30.77,140.81,22,0,Hill Palace,Private Agency,91923,103709,98400,97147,0.92
2023-02-02,2023,2,Conference,MICE,59867,38696,21171,72.87,2.35,112657480.26,63,76396,27.96,466.3,9,1,Mattancherry Palace,Self-Planned,61620,61245,50389,58280,1.15
2022-07-12,2022,7,Conference,MICE,59719,43422,16297,55.37,4.94,83459728.58,192,74815,30.75,594.84,43,1,Bolgatty Palace,Self-Planned,55563,55897,65813,59248,0.91
2024-05-24,2024,5,Conference,MICE,72820,58007,14813,64.89,3.7,102016228.95,186,82732,26.04,553.36,46,1,Fort Kochi,Travel Group,73699,77324,53962,69451,0.81
2022-07-18,2022,7,Monsoon Dip,Low Season,77027,58807,18220,70.15,1.56,202812209.15,199,85562,30.5,506.45,38,1,Chottanikkara Temple,Private Agency,74194,74200,94625,80011,1.03
2024-01-03,2024,1,Monsoon Dip,Low Season,117275,74763,42512,87.95,1.5,337238813.54,144,130674,25.74,218.18,36,0,Fort Kochi,Private Agency,112423,123005,121818,118630,1.03
2023-04-29,2023,4,No Major Event,None,113894,90571,23323,56.89,1.65,214832383.89,125,119758,28.48,476.73,16,1,Cherai Beach,Self-Planned,116876,109297,98007,109518,1.11
2022-10-30,2022,10,Cruise Season,Cruise Tourism,54389,42931,11458,69.6,4.6,158089203.18,132,69427,24.32,170.07,48,0,Cherai Beach,Government Package,54766,46045,49126,51081,1.05
2022-05-04,2022,5,Wedding Season,MICE,108548,67974,40574,84.35,2.14,296570054.98,177,117406,28.75,2.38,45,0,Chinese Fishing Nets,Government Package,108160,102852,124098,110914,0.98
2022-03-29,2022,3,No Major Event,None,76655,55461,21194,59.18,5.43,215785626.43,101,84007,31.96,414.55,29,1,Cherai Beach,Self-Planned,74780,82585,60235,73563,1.09
2024-06-30,2024,6,Wedding Season,MICE,103496,77384,26112,57.02,5.29,136665083.24,175,117001,32.81,238.43,31,0,Fort Kochi,Self-Planned,107343,99634,95826,101574,0.83
2022-06-22,2022,6,Monsoon Dip,Low Season,93789,60767,33022,71.8,2.97,231723489.67,116,98047,24.64,2.55,34,0,Lulu Mall,Travel Group,89027,101998,76363,90294,1.12
2022-12-18,2022,12,Peak Season,Tourism,50914,40265,10649,60.52,3.96,63130444.9,1917,63819,31.82,108.79,31,0,Fort Kochi,Travel Group,46901,46776,39377,45992,0.84
2023-01-03,2023,1,Cruise Season,Cruise Tourism,68028,41469,26559,62.28,4.22,174212553.35,948,73263,31.53,344.3,31,1,Cherai Beach,Self-Planned,66687,71253,65994,67990,0.97
2022-05-22,2022,5,Monsoon Dip,Low Season,112539,75329,37210,61.37,1.76,137891805.71,31,125992,31.2,296.6,7,0,Chinese Fishing Nets,Private Agency,117371,109130,107862,111725,0.83
2022-02-10,2022,2,Wedding Season,MICE,76967,52419,24548,87.89,2.59,225155152.47,175,85350,24.67,387.4,28,1,Marine Drive,Private Agency,77486,81314,73196,77240,1.01
2023-11-13,2023,11,Onam Festival,Festival,76188,47023,29165,82.39,1.94,140190355.16,149,80901,32.02,177.5,38,0,Chinese Fishing Nets,Private Agency,76550,69941,63927,71651,1.07
2024-05-04,2024,5,Onam Festival,Festival,86925,68623,18302,66.71,2.09,256996539.12,35,91927,24.11,463.59,10,1,Chinese Fishing Nets,Government Package,82509,82166,81933,83383,0.87
2023-09-13,2023,9,Onam Festival,Festival,107414,84433,22981,91.23,5.12,277731770.59,41,119027,24.34,328.09,11,1,Lulu Mall,Self-Planned,110251,104810,95934,104602,0.87
2023-07-02,2023,7,Onam Festival,Festival,106050,77522,28528,52.51,2.52,301687908.29,136,116957,25.05,165.51,30,0,Cherai Beach,Private Agency,106932,107893,113536,108602,1.19
2024-08-12,2024,8,Peak Season,Tourism,129588,77961,51627,75.06,2.47,267374077.93,2430,133125,24.94,102.09,38,0,Hill Palace,Government Package,133960,133928,148042,136379,0.93
2024-12-03,2024,12,Onam Festival,Festival,64627,41899,22728,62.5,2.95,193672044.64,67,73783,24.54,492.51,36,1,Cherai Beach,Travel Group,64940,57057,46284,58227,1.14
2023-11-27,2023,11,Monsoon Dip,Low Season,96443,59231,37212,73.34,2.02,206162686.04,143,104518,26.18,488.6,11,1,Bolgatty Palace,Travel Group,92922,87727,81632,89681,1.05
2022-02-20,2022,2,Conference,MICE,108993,78697,30296,87.9,3.38,144396571.16,138,121617,30.46,373.5,44,1,Fort Kochi,Government Package,113970,104421,97639,106255,0.92
2022-11-25,2022,11,Onam Festival,Festival,83030,55987,27043,59.6,3.12,172604287.55,195,91619,29.73,571.88,27,1,Bolgatty Palace,Government Package,81764,80640,99281,86178,1.11
2024-09-14,2024,9,Monsoon Dip,Low Season,65985,52076,13909,85.59,4.64,136414700.03,140,71360,24.03,135.57,14,0,Chottanikkara Temple,Travel Group,63491,74460,56464,65100,0.87
2023-03-15,2023,3,Conference,MICE,105321,65337,39984,91.08,2.58,148830623.82,144,113978,25.86,446.29,18,1,Fort Kochi,Government Package,107079,108492,119198,110022,0.85
2022-05-05,2022,5,Onam Festival,Festival,127122,86810,40312,81.0,3.3,219814366.82,78,140727,28.46,122.86,45,0,Mattancherry Palace,Travel Group,125812,129202,130883,128254,0.98
2022-09-07,2022,9,No Major Event,None,106546,68239,38307,75.94,5.36,309651018.52,82,119070,28.51,214.55,7,0,Chottanikkara Temple,Travel Group,107528,112193,89313,103895,0.83
2022-11-25,2022,11,Biennale,Arts & Cultural,92178,65471,26707,69.88,4.52,192215950.21,343,109911,26.24,594.54,12,1,Cherai Beach,Travel Group,94538,99693,76069,90619,0.87
2022-02-20,2022,2,Biennale,Arts & Cultural,100876,75581,25295,56.73,4.66,146676121.72,1249,117873,27.47,428.28,49,1,Mattancherry Palace,Self-Planned,102247,95132,99449,99426,0.9
2023-01-27,2023,1,Wedding Season,MICE,127323,88635,38688,64.35,2.83,226870077.98,131,133127,32.4,228.45,14,0,Bolgatty Palace,Travel Group,131890,135386,115267,127466,0.89
2022-12-29,2022,12,Onam Festival,Festival,72623,47736,24887,51.0,4.0,130496252.04,101,92602,28.4,552.7,2,1,Bolgatty Palace,Government Package,68776,77963,72397,72939,1.19
2024-07-11,2024,7,Conference,MICE,74650,45959,28691,58.72,1.95,198520800.17,45,77969,30.46,386.29,34,1,Bolgatty Palace,Government Package,72896,69787,79672,74251,0.85
2024-07-11,2024,7,Cruise Season,Cruise Tourism,126687,80160,46527,57.97,3.34,355818088.28,1792,145694,30.53,299.94,49,0,Chottanikkara Temple,Travel Group,122996,132105,124380,126542,0.86
2022-04-29,2022,4,Cruise Season,Cruise Tourism,94518,61835,32683,91.62,2.59,153684768.69,1664,98713,28.11,220.11,35,0,Hill Palace,Travel Group,93536,90683,81657,90098,0.82
2023-09-13,2023,9,No Major Event,None,123898,76776,47122,55.67,1.59,263388644.07,186,128086,30.61,201.97,48,0,Lulu Mall,Private Agency,128844,122204,130060,126251,0.86
2024-04-21,2024,4,Biennale,Arts & Cultural,117467,70669,46798,87.76,2.11,245648203.15,1963,123004,26.62,449.62,13,1,Bolgatty Palace,Private Agency,113678,109674,111564,113095,0.95
2023-12-06,2023,12,Onam Festival,Festival,121841,91811,30030,85.03,5.48,314863316.15,32,125670,31.71,489.52,23,1,Hill Palace,Private Agency,123902,115264,103658,116166,0.88
2023-12-16,2023,12,Onam Festival,Festival,77062,59520,17542,59.18,2.16,210587466.03,198,94409,29.88,177.04,33,0,Cherai Beach,Government Package,72081,75228,84897,77317,0.96
2022-12-30,2022,12,Conference,MICE,124864,86204,38660,76.21,5.28,180994259.32,89,130422,30.07,52.87,13,0,Cherai Beach,Government Package,121569,123246,124785,123616,1.13
2024-01-18,2024,1,Conference,MICE,120160,90671,29489,50.5,2.17,307155468.98,68,135102,24.0,201.79,44,0,Lulu Mall,Self-Planned,124645,110832,135184,122705,0.94
2024-04-07,2024,4,Cruise Season,Cruise Tourism,117390,73147,44243,82.24,1.98,345680148.21,460,123836,24.61,15.98,14,0,Mattancherry Palace,Travel Group,114080,113724,102568,111940,1.15
2022-03-06,2022,3,Wedding Season,MICE,124555,88224,36331,81.61,1.53,241409616.75,135,128118,25.6,406.13,15,1,Fort Kochi,Private Agency,125265,127196,113934,122737,1.03
2022-11-03,2022,11,Monsoon Dip,Low Season,124427,98351,26076,89.71,1.58,288039726.46,54,133967,26.69,566.45,13,1,Chottanikkara Temple,Private Agency,120237,123886,108286,119209,1.14
2024-10-15,2024,10,Biennale,Arts & Cultural,118071,83625,34446,86.15,4.68,250091602.49,2962,129513,32.02,131.27,45,0,Mattancherry Palace,Private Agency,118770,114554,122856,118562,1.16
2022-05-29,2022,5,Biennale,Arts & Cultural,124346,94202,30144,62.69,2.94,259261021.52,1118,143711,24.94,443.92,26,1,Cherai Beach,Self-Planned,128801,116021,137287,126613,1.08
2024-07-01,2024,7,Cruise Season,Cruise Tourism,116210,74653,41557,83.13,2.52,250355650.78,1917,121170,30.22,207.38,41,0,Lulu Mall,Government Package,116833,107475,129223,117435,0.98
2024-05-03,2024,5,Monsoon Dip,Low Season,120421,82656,37765,73.92,3.92,163308573.83,145,128944,31.07,136.92,43,0,Hill Palace,Self-Planned,115615,121530,115336,118225,1.05
2024-02-21,2024,2,Biennale,Arts & Cultural,83471,64506,18965,57.87,4.05,146909756.34,1993,90389,24.79,533.65,41,1,Hill Palace,Government Package,87997,78904,69901,80068,1.07
2024-12-19,2024,12,Monsoon Dip,Low Season,114446,85225,29221,73.5,5.41,253671429.57,128,134376,32.37,321.04,9,1,Chottanikkara Temple,Private Agency,114444,105305,112917,111778,1.18
2023-11-20,2023,11,No Major Event,None,106828,72808,34020,91.1,4.62,318680976.1,177,126048,25.26,67.68,10,0,Bolgatty Palace,Government Package,109118,108324,112635,109226,0.85
